"B19013_001E","B19013_001M","GEO_ID","NAME"
"Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","id","Geographic Area Name"
"56094","11231","1400000US08001009553","Census Tract 95.53, Adams County, Colorado"
"46451","5572","1400000US08001009603","Census Tract 96.03, Adams County, Colorado"
"51555","5842","1400000US08001009604","Census Tract 96.04, Adams County, Colorado"
"44924","6821","1400000US08001009606","Census Tract 96.06, Adams County, Colorado"
"46082","4213","1400000US08001009607","Census Tract 96.07, Adams County, Colorado"
"75556","18896","1400000US08001009608","Census Tract 96.08, Adams County, Colorado"
"48767","6757","1400000US08001009751","Census Tract 97.51, Adams County, Colorado"
"67850","8325","1400000US08001009752","Census Tract 97.52, Adams County, Colorado"
"39675","6674","1400000US08001015000","Census Tract 150, Adams County, Colorado"
"116754","10467","1400000US08001060000","Census Tract 600, Adams County, Colorado"
"94191","13497","1400000US08001060100","Census Tract 601, Adams County, Colorado"
"64154","5942","1400000US08001060200","Census Tract 602, Adams County, Colorado"
"132250","13674","1400000US08001061200","Census Tract 612, Adams County, Colorado"
"-","**","1400000US08001988700","Census Tract 9887, Adams County, Colorado"
"47786","8866","1400000US08003960000","Census Tract 9600, Alamosa County, Colorado"
"53261","13088","1400000US08003960100","Census Tract 9601, Alamosa County, Colorado"
"47971","6631","1400000US08003960200","Census Tract 9602, Alamosa County, Colorado"
"27955","3430","1400000US08003960300","Census Tract 9603, Alamosa County, Colorado"
"51071","4853","1400000US08005004951","Census Tract 49.51, Arapahoe County, Colorado"
"50909","9010","1400000US08005004952","Census Tract 49.52, Arapahoe County, Colorado"
"48528","6510","1400000US08005005551","Census Tract 55.51, Arapahoe County, Colorado"
"32008","8844","1400000US08005005552","Census Tract 55.52, Arapahoe County, Colorado"
"56474","6159","1400000US08005005553","Census Tract 55.53, Arapahoe County, Colorado"
"81930","9644","1400000US08005005611","Census Tract 56.11, Arapahoe County, Colorado"
"83617","7135","1400000US08005005612","Census Tract 56.12, Arapahoe County, Colorado"
"92125","13514","1400000US08005005614","Census Tract 56.14, Arapahoe County, Colorado"
"84211","12358","1400000US08005005619","Census Tract 56.19, Arapahoe County, Colorado"
"55429","5063","1400000US08005005620","Census Tract 56.20, Arapahoe County, Colorado"
"121250","20829","1400000US08005005621","Census Tract 56.21, Arapahoe County, Colorado"
"113125","15353","1400000US08005005622","Census Tract 56.22, Arapahoe County, Colorado"
"110417","16480","1400000US08005005623","Census Tract 56.23, Arapahoe County, Colorado"
"112218","6401","1400000US08005005624","Census Tract 56.24, Arapahoe County, Colorado"
"89907","14937","1400000US08005005625","Census Tract 56.25, Arapahoe County, Colorado"
"70197","15115","1400000US08005005626","Census Tract 56.26, Arapahoe County, Colorado"
"104911","8182","1400000US08005005627","Census Tract 56.27, Arapahoe County, Colorado"
"86856","14452","1400000US08005005628","Census Tract 56.28, Arapahoe County, Colorado"
"151667","22008","1400000US08005005629","Census Tract 56.29, Arapahoe County, Colorado"
"94229","15916","1400000US08005005630","Census Tract 56.30, Arapahoe County, Colorado"
"114119","6741","1400000US08005005631","Census Tract 56.31, Arapahoe County, Colorado"
"119033","4117","1400000US08005005632","Census Tract 56.32, Arapahoe County, Colorado"
"104756","6353","1400000US08005005633","Census Tract 56.33, Arapahoe County, Colorado"
"68586","11307","1400000US08005005634","Census Tract 56.34, Arapahoe County, Colorado"
"92604","19451","1400000US08005005635","Census Tract 56.35, Arapahoe County, Colorado"
"202188","70592","1400000US08005005636","Census Tract 56.36, Arapahoe County, Colorado"
"48465","13563","1400000US08005005700","Census Tract 57, Arapahoe County, Colorado"
"81708","11959","1400000US08005005800","Census Tract 58, Arapahoe County, Colorado"
"36640","7514","1400000US08005005951","Census Tract 59.51, Arapahoe County, Colorado"
"58869","8066","1400000US08005005952","Census Tract 59.52, Arapahoe County, Colorado"
"51201","8812","1400000US08005006000","Census Tract 60, Arapahoe County, Colorado"
"50802","5227","1400000US08005006100","Census Tract 61, Arapahoe County, Colorado"
"66034","5887","1400000US08005006200","Census Tract 62, Arapahoe County, Colorado"
"69280","11721","1400000US08005006300","Census Tract 63, Arapahoe County, Colorado"
"61042","10149","1400000US08005006400","Census Tract 64, Arapahoe County, Colorado"
"47743","10027","1400000US08005006501","Census Tract 65.01, Arapahoe County, Colorado"
"65816","6397","1400000US08005006502","Census Tract 65.02, Arapahoe County, Colorado"
"42298","8619","1400000US08005006601","Census Tract 66.01, Arapahoe County, Colorado"
"82586","9089","1400000US08005006603","Census Tract 66.03, Arapahoe County, Colorado"
"47127","6565","1400000US08005006604","Census Tract 66.04, Arapahoe County, Colorado"
"250,000+","***","1400000US08005006704","Census Tract 67.04, Arapahoe County, Colorado"
